easting,northing,mass_value
259607,2146565,13.73
259607,2146565,141.25
259607,2146565,139.02
259607,2146565,139.1
259607,2146565,65.99
259607,2146565,42.19
259607,2146565,142.7
259607,2146565,122.32
259607,2146565,156.96
259607,2146565,193.91
259607,2146565,428.5
259607,2146565,197.34
259607,2146565,254.97
259607,2146565,216.93
259607,2146565,119.85
259696,2146558,773.77
259696,2146558,2684.2
259696,2146558,1999.57
259696,2146558,268.57
259696,2146558,803.99
259696,2146558,2040.91
259696,2146558,29.43
259696,2146558,351.29
259696,2146558,1623.65
259696,2146558,394.34
259696,2146558,37.9
259696,2146558,307.58
259696,2146558,84.72
259696,2146558,340.57
259696,2146558,76.51
259696,2146558,100.27
259696,2146558,206.08
259823,2146543,232.12
259823,2146543,432.88
259823,2146543,557.17
259823,2146543,431.69
259823,2146543,756.65
259823,2146543,86.03
259823,2146543,692.49
259823,2146543,410.38
259823,2146543,386.7
259823,2146543,1322.69
259823,2146543,524.25
259823,2146543,284.92
259823,2146543,132.63
259823,2146543,192.99
261493,2149161,223.69
261493,2149161,81.11
261493,2149161,84.2
261493,2149161,48.41
261493,2149161,49.82
261278,2148951,312.03
261278,2148951,280.04
261278,2148951,122.74
261278,2148951,50.84
261278,2148951,152.85
260962,2149233,107.39
260962,2149233,154.53
260962,2149233,89.96
260815,2149409,170.3
260815,2149409,28.83
260815,2149409,93.46
261424,2149569,73.38
261424,2149569,161.61
261424,2149569,47.22
261424,2149569,46.05
261791,2149328,126.85
261791,2149328,245.26
261791,2149328,42.29
261791,2149328,59.79
263157,2147996,123.68
262230,2148173,39.91
262230,2148173,238.37
262230,2148173,65.96
262179,2147957,203.31
262179,2147957,14.22
262179,2147957,139.36
262179,2147957,16.99
262179,2147631,248.65
262179,2147631,18.76
261048,2149103,490.06
261048,2149103,130.38
261048,2149103,71.74
261048,2149103,110.85
261048,2149103,258.65
261048,2149103,177.03
261048,2149103,95.82
261048,2149103,322.16
261048,2149103,46.94
261048,2149103,134.35
260827,2148935,175.4
260827,2148935,10.44
260827,2148935,240.95
260827,2148935,196.94
260827,2148935,345.32
260462,2148785,304.95
260462,2148785,373.37
260462,2148785,156.51
260462,2148785,147.26
260462,2148785,62.97
260462,2148785,38.58
260462,2148785,152.44
260185,2148629,142.1
260185,2148629,333.02
260185,2148629,289.88
260185,2148629,170.63
260185,2148629,232.14
260185,2148629,47.93
260551,2146707,314.19
260551,2146707,302.1
260551,2146707,323.67
260551,2146707,126.2
260551,2146707,332.01
260551,2146707,179.34
260551,2146707,302.48
260290,2146578,64.89
260290,2146578,183.22
260290,2146578,80.13
260290,2146578,156.06
260290,2146578,147.91
260290,2146578,73.85
260290,2146578,162.5
260290,2146578,180.2
260290,2146578,14.63
260093,2146602,269.13
260093,2146602,325.07
260093,2146602,437.99
260093,2146602,119.15
260093,2146602,163.53
260093,2146602,277.3
260093,2146602,209.12
260093,2146602,400.63
260093,2146602,138.4
260135,2146046,476.88
260135,2146046,347.48
260135,2146046,216.97
260135,2146046,149.4
260135,2146046,175.4
260135,2146046,205.98
260250,2146159,280.29
260250,2146159,132.68
260250,2146159,358.19
260250,2146159,288.97
261766,2147424,451.34
261740,2147605,105.05
261740,2147605,322.62
261548,2147602,305.4
261548,2147602,17.57
261637,2147855,383.42
261637,2147855,169.83
261637,2147855,229.85
261637,2147855,129.68
261637,2147855,36.0
261412,2148181,66.53
261412,2148181,170.49
261185,2148285,119.75
261185,2148285,192.15
260794,2148225,81.78
260794,2148225,84.95
260794,2148225,235.8
260794,2148225,201.66
260794,2148225,101.12
260663,2148318,253.51
260663,2148318,300.7
260663,2148318,136.43
260663,2148318,128.74
260663,2148318,51.63
260663,2148318,298.75
260663,2148318,102.17
260663,2148318,24.78
260663,2148318,48.18
260663,2148318,107.63
261059,2147426,255.27
261059,2147426,62.11
259897,2146279,75.86
259897,2146279,306.85
259897,2146279,412.08
259897,2146279,233.37
259897,2146279,267.39
259897,2146279,191.77
259897,2146279,472.28
259897,2146279,382.74
259897,2146279,255.92
259897,2146279,371.37
259897,2146279,266.62
259897,2146279,213.65
259897,2146279,169.13
259897,2146279,124.52
259897,2146279,81.55
260128,2146392,416.09
260128,2146392,103.13
260128,2146392,275.07
260128,2146392,124.85
260128,2146392,178.21
260128,2146392,113.02
259894,2146658,285.41
259894,2146658,427.73
259894,2146658,507.09
259894,2146658,426.7
259894,2146658,172.46
259894,2146658,217.7
259894,2146658,243.19
